type,x,y,z,rx,ry,rz
motion,-0.0025,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.51853,0.12135965716168452,-2.2,2.2,0.0
motion,-0.0025,-0.51853,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.51353,0.1227625485806154,-2.2,2.2,0.0
motion,-0.0025,-0.51353,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.50853,0.1335,-2.2,2.2,0.0
motion,-0.0025,-0.50853,0.12311454879823595,-2.2,2.2,0.0
motion,-0.0025,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.50853,0.12295751790437136,-2.2,2.2,0.0
motion,0.0025,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.50853,0.12173326494209523,-2.2,2.2,0.0
motion,0.0075,-0.50853,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.51353,0.12126572394060554,-2.2,2.2,0.0
motion,0.0075,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0075,-0.51853,0.1103367131147541,-2.2,2.2,0.0
motion,0.0075,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.51853,0.12108631459791248,-2.2,2.2,0.0
motion,0.0025,-0.51853,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.51353,0.12246299723625557,-2.2,2.2,0.0
motion,0.0025,-0.51353,0.1335,-2.2,2.2,0.0
motion,0.0025,-0.51353,0.1335,-2.2,2.2,0.0
